Nom_route,Num_bornea_route,Dist_metre_apres_bornea,Type_recensement,Classe_route,Declinaison_classe_route,Nom_compteur_perm,Num_borneb_route,Dis_metre_apres_borneb,Moy_jour_ann_tous_vehi_2009,Moy_jour_ann_poidsL_2009,Moy_jour_ann_tous_vehi_2010,Moy_jour_ann_poidsL_2010,Mode_comptage,LATITUDE,LONGITUDE
44 D0076,15,0,RG,RDL2,RDL,,15,0,1317,56,1331,59,CT_A1,47.1397616929,-1.48073010156
44 D0077,5,500,RG,RP2,RM,,5,500,8385,392,8475,410,CT_A1,47.276673565,-2.0799910095
44 D0080,20,500,RG,RDL2,RDL,,20,500,1204,79,1217,83,CT_A1,47.056286862,-1.89341862662
44 D0081,24,0,RG,RDL2,RDL,,24,0,1126,58,1138,61,CT_A1,47.3039941906,-1.71409755994
44 D0084,11,500,RG,RDL2,RDL,,11,500,532,24,538,25,CT_A1,47.3414635464,-1.3465632166
44 D0085,4,0,RG,RPU,RM,,4,0,6898,263,6972,275,CT_A1,47.1460894381,-1.60039381409
44 D0090,7,800,RG,RDL2,RDL,,7,800,6584,256,6655,268,CT_A1,47.3615704604,-1.86347380676
44 D0092,16,600,P,RDL2,RDL,GUERANDE,16,600,10364,228,10337,227,CP,47.3003287335,-2.40804132063
44 D0093,3,0,RG,RDL1,RDL,,3,0,3759,384,3799,402,CT_A1,47.2826845334,-1.75870645572
44 D0095,13,800,RG,RP2,RM,,13,800,9266,908,9366,949,CT_A1,46.9762831721,-1.80678942753
44 D0096,9,0,RG,RDL2,RDL,,9,0,1026,66,1037,69,CT_A1,47.2222737214,-2.13345562992
44 D0100,8,0,RG,RDL2,RDL,,8,0,1118,45,1130,47,CT_A1,47.4361767999,-1.9508994301
44 D0100,15,0,RG,RP1,RM,,15,0,2212,99,2236,104,CT_A1,47.387921849,-2.00176647186
44 D0100,28,0,P,RP2,RM,DONGES,28,0,5358,1313,5244,1416,CP,47.3289513723,-2.10481564122
44 D0101,2,0,RG,RP2,RM,,2,0,11673,666,11799,696,CT_A1,47.2430286812,-1.67526286451
44 D0105,13,500,RG,RDL2,RDL,,13,500,1215,62,1228,65,CT_A1,47.1997816632,-1.3885207303
44 D0107,2,0,RG,RPU,RM,,2,0,9858,683,9964,714,CT_A1,47.1964425058,-1.64513002624
44 D0115,5,0,RG,RDL1,RDL,,5,0,6030,522,6095,546,CT_A1,47.2436727054,-1.32337958174
44 D0115,9,0,RG,RPU,RM,,9,0,6920,499,6994,522,CT_A1,47.2365218807,-1.37047792517
44 D0115,15,0,RG,RPU,RM,,15,0,5572,500,5632,523,CT_A1,47.2126878515,-1.4391551261
44 D0115,20,500,RG,RPU,RM,,20,500,6610,313,6681,327,CT_A1,47.163124252,-1.47340218146
44 D0116,5,0,RG,RDL2,RDL,,5,0,1551,111,1568,116,CT_A1,47.1857097848,-1.22199957295
44 D0117,3,100,RG,RP2,RM,,3,100,6011,396,6076,414,CT_A1,47.0916980046,-1.31641267869
44 D0117,13,400,P,RP2,RM,MONTBERT,13,400,2412,164,2390,165,CP,47.0622836686,-1.43935454658
44 D0117,21,0,RG,RP2,RM,,21,0,2974,191,3006,200,CT_A1,47.060074683,-1.53526961128
44 D0117,30,800,RG,LS,RM,,30,800,14916,1027,15076,1074,CT_A1,47.0504588713,-1.63128097193
44 D0117,40,700,P,LS,RM,LA MARNE,40,700,10655,810,11266,879,CP,46.9998915918,-1.73311923282
44 D0117,43,0,RG,RP2,RM,,43,0,11359,882,11481,922,CT_A1,46.9933168441,-1.76067796331
44 D0124,8,0,RG,RDL1,RDL,,8,0,1012,61,1023,64,CT_A1,47.6145720695,-1.69207042798
44 D0126,10,0,RG,RDL2,RDL,,10,0,791,43,800,45,CT_A1,47.4893496845,-2.11979208733
